u,v,pen
0.05253,-0.01738,1
0.05386,-0.01881,1
0.05247,-0.01735,1
0.05107,-0.01590,1
0.04968,-0.01445,1
0.04844,-0.01457,1
0.04734,-0.01626,1
0.04625,-0.01796,1
0.04516,-0.01965,1
0.04407,-0.02134,1
0.04298,-0.02304,1
0.04336,-0.02472,1
0.04197,-0.02380,1
0.04062,-0.02230,1
0.03977,-0.02052,1
0.03940,-0.01856,1
0.03944,-0.01655,1
0.03949,-0.01453,1
0.04070,-0.01529,1
0.04126,-0.01723,1
0.04182,-0.01917,1
0.04238,-0.02110,1
0.04225,-0.02232,1
0.04188,-0.02357,1
0.04259,-0.02219,1
0.04389,-0.02065,1
0.04499,-0.01897,1
0.04600,-0.01722,1
0.04700,-0.01548,1
0.04801,-0.01373,1
0.04700,-0.01243,1
0.04535,-0.01127,1
0.04344,-0.01070,1
0.04196,-0.00976,1
0.04357,-0.00965,1
0.04552,-0.01003,1
0.04727,-0.01103,1
0.04894,-0.01179,1
0.04973,-0.00994,1
0.05052,-0.00808,1
0.05131,-0.00623,1
0.05188,-0.00686,1
0.05143,-0.00874,1
0.05060,-0.01058,1
0.04977,-0.01241,1
0.05074,-0.01393,1
0.05215,-0.01537,1
0.05355,-0.01682,1
0.05412,-0.01857,1
0.05409,-0.01729,1
0.05270,-0.01584,1
0.05129,-0.01440,1
0.04989,-0.01296,1
0.05029,-0.01121,1
0.05113,-0.00937,1
0.05197,-0.00754,1
0.05159,-0.00558,1
0.05159,-0.00558,0
0.01049,0.00882,0
0.01049,0.00882,1
0.01120,0.00693,1
0.01149,0.00514,1
0.01258,0.00344,1
0.01368,0.00191,1
0.01398,0.00228,1
0.01379,0.00319,1
0.01453,0.00289,1
0.01610,0.00275,1
0.01442,0.00163,1
0.01446,-0.00002,1
0.01522,-0.00190,1
0.01598,-0.00377,1
0.01720,-0.00536,1
0.01838,-0.00695,1
0.01881,-0.00893,1
0.01924,-0.01090,1
0.01967,-0.01287,1
0.01925,-0.01299,1
0.01803,-0.01137,1
0.01682,-0.00975,1
0.01561,-0.00814,1
0.01430,-0.00669,1
0.01346,-0.00745,1
0.01454,-0.00915,1
0.01556,-0.01075,1
0.01448,-0.00904,1
0.01339,-0.00734,1
0.01447,-0.00676,1
0.01569,-0.00837,1
0.01690,-0.00999,1
0.01812,-0.01160,1
0.01934,-0.01321,1
0.01964,-0.01283,1
0.01922,-0.01085,1
0.01881,-0.00887,1
0.01839,-0.00690,1
0.01723,-0.00529,1
0.01600,-0.00371,1
0.01524,-0.00184,1
0.01448,0.00003,1
0.01435,0.00174,1
0.01537,0.00191,1
0.01542,0.00290,1
0.01603,0.00339,1
0.01758,0.00469,1
0.01944,0.00539,1
0.01813,0.00511,1
0.01656,0.00388,1
0.01494,0.00375,1
0.01311,0.00288,1
0.01196,0.00452,1
0.01113,0.00622,1
0.01057,0.00800,1
0.01127,0.00746,1
0.01275,0.00672,1
0.01338,0.00715,1
0.01181,0.00710,1
0.01059,0.00871,1
0.01059,0.00871,0
0.00788,-0.01069,0
0.00788,-0.01069,1
0.00592,-0.01123,1
0.00720,-0.01088,1
0.00921,-0.01080,1
0.01049,-0.01165,1
0.01042,-0.01362,1
0.00839,-0.01362,1
0.00658,-0.01285,1
0.00484,-0.01207,1
0.00489,-0.01344,1
0.00676,-0.01409,1
0.00877,-0.01439,1
0.01061,-0.01485,1
0.01079,-0.01687,1
0.01097,-0.01890,1
0.01178,-0.02074,1
0.01272,-0.02254,1
0.01360,-0.02435,1
0.01337,-0.02636,1
0.01314,-0.02838,1
0.01291,-0.03040,1
0.01223,-0.03222,1
0.01093,-0.03378,1
0.01073,-0.03572,1
0.01155,-0.03758,1
0.01236,-0.03891,1
0.01182,-0.03819,1
0.01098,-0.03635,1
0.01073,-0.03434,1
0.01185,-0.03274,1
0.01285,-0.03106,1
0.01308,-0.02904,1
0.01330,-0.02703,1
0.01353,-0.02501,1
0.01303,-0.02313,1
0.01209,-0.02133,1
0.01115,-0.01952,1
0.01085,-0.01754,1
0.01067,-0.01551,1
0.00953,-0.01442,1
0.00752,-0.01416,1
0.00553,-0.01382,1
0.00465,-0.01252,1
0.00619,-0.01264,1
0.00794,-0.01362,1
0.00997,-0.01362,1
0.01076,-0.01221,1
0.00999,-0.01098,1
0.00798,-0.01069,1
0.00798,-0.01069,0
-0.00099,0.05524,0
-0.00099,0.05524,1
-0.00165,0.05335,1
-0.00124,0.05143,1
-0.00071,0.04950,1
-0.00053,0.04757,1
-0.00041,0.04568,1
0.00043,0.04386,1
0.00127,0.04204,1
0.00154,0.04146,1
0.00070,0.04328,1
-0.00014,0.04509,1
-0.00067,0.04694,1
